id,name,alias,collegeDataUrl,collegeDataId
1624,Northwest Nazarene University,,Northwest-Nazarene-University,1126.0
1963,Eastern Kentucky University,,Eastern-Kentucky-University,944.0
3496,King University,,,
7228,University of Puerto Rico--Arecibo,University of Puerto Rico Arecibo,,
667008,American University of Puerto Rico--Bayamon,,,
3436,Limestone University,,,
1220,The Master's University and Seminary,Masters College and Seminary,,
957121,Purdue University Global,,,
2288,Rochester University,,,
1343,Woodbury University,,Woodbury-University,1140.0
3012,Ashland University,,Ashland-University,1186.0
2397,Belhaven University,,Belhaven-University,496.0
1674,Eastern Illinois University,,Eastern-Illinois-University,1780.0
1505,Lynn University,,Lynn-University,511.0
1722,McKendree University,,McKendree-University,376.0
1768,Saint Xavier University,St Xavier University Saint Xavier University,Saint-Xavier-University,398.0
2318,Spring Arbor University,,Spring-Arbor-University,1738.0
3135,Walsh University,,Walsh-University,1723.0
29059,Concordia University -- Irvine,,,
3711,Ferrum College,,Ferrum-College,1204.0
9089,Hannibal-LaGrange University,Hannibal LaGrange University,Hannibal-LaGrange-University,953.0
1814,Indiana University--Kokomo,IU Indiana University Kokomo Indiana University Kokomo,Indiana-University-Kokomo,369.0
2737,Iona University,,,
2311,Kuyper College,,Kuyper-College,1361.0
3783,Northwest University,,Northwest-University,900.0
3692,Norwich University,,Norwich-University,438.0
2534,Rocky Mountain College,,Rocky-Mountain-College,695.0
1397,University of New Haven,,University-of-New-Haven,434.0
8848,Warner University,,Warner-University,1576.0
3209,Western Oregon University,,Western-Oregon-University,683.0
32553,Florida Gulf Coast University,,Florida-Gulf-Coast-University,534.0
3419,Charleston Southern University,,Charleston-Southern-University,494.0
1588,Piedmont University,,,
12123,University of Puerto Rico--Aguadilla,University of Puerto Rico Aguadilla,,
1482,Florida College,,Florida-College,527.0
1486,Florida Memorial University,,Florida-Memorial-University,1033.0
41429,Georgia Gwinnett College,,Georgia-Gwinnett-College,2095.0
2760,Manhattanville College,,Manhattanville-College,153.0
2638,Saint Peter's University,St Peter's College Saint Peter's College St Peters College Saint Peters College St. Peters College,,
2853,SUNY Maritime College,SUNY Maritime College,,
3391,Waynesburg University,,Waynesburg-University,192.0
1141,California State University--Dominguez Hills,Cal State University Dominguez Hills California State University Dominguez Hills,California-State-University-Dominguez-Hills,969.0
3823,West Liberty University,,West-Liberty-University,1586.0
3775,Eastern Washington University,,Eastern-Washington-University,1161.0
9226,Francis Marion University,,Francis-Marion-University,1476.0
3830,West Virginia Wesleyan College,,West-Virginia-Wesleyan-College,1590.0
9401,Colorado Christian University,,Colorado-Christian-University,822.0
1666,Concordia University Chicago,,Concordia-University-Chicago,340.0
3576,Houston Baptist University,,Houston-Baptist-University,703.0
1879,Morningside University,,,
1520,Seminole State College of Florida,,,
3911,Viterbo University,,Viterbo-University,1725.0
1372,Western Colorado University,,,
3684,Champlain College,,Champlain-College,1270.0
7022,CUNY--Lehman College,CUNY Lehman College CUNY Lehman College,,
5027,Inter American University of Puerto Rico--Barranquitas,Inter American University of Puerto Rico Barranquitas Inter American University of Puerto Rico Barranquitas,,
3282,King's College,Kings College,,
4799,Monroe College,,Monroe-College,2002.0
2065,Notre Dame of Maryland University,,Notre-Dame-of-Maryland-University,1610.0
2091,Salisbury University,,Salisbury-University,1640.0
2844,SUNY--Fredonia,SUNY Fredonia SUNY Fredonia,,
2849,SUNY--Plattsburgh,SUNY Plattsburgh SUNY Plattsburgh,,
2023,University of Holy Cross,,,
2949,University of Mount Olive,,,
10975,University of Puerto Rico--Bayamon,University of Puerto Rico Bayamon University College,,
3944,University of Puerto Rico--Mayaguez,University of Puerto Rico Mayaguez,,
3826,West Virginia State University,,West-Virginia-State-University,1588.0
2540,College of Saint Mary,College of St Mary College of Saint Mary,College-of-Saint-Mary,790.0
3035,Ohio Dominican University,,Ohio-Dominican-University,1008.0
1741,Olivet Nazarene University,,Olivet-Nazarene-University,1805.0
3149,Southern Nazarene University,,Southern-Nazarene-University,778.0
9651,Texas A&M International University,Texas A & M International University Texas A and M International University,,
9930,University of Texas Permian Basin,,,
3924,University of Wisconsin--Stevens Point,University of Wisconsin Stevens Point,University-of-Wisconsin-Stevens-Point,1697.0
3134,Ursuline College,,Ursuline-College,270.0
3536,Bryan College,,Bryan-College,515.0
1965,Kentucky Christian University,,Kentucky-Christian-University,1154.0
3518,Southern Adventist University,,Southern-Adventist-University,1651.0
2001,Thomas More University,,,
2954,University of North Carolina--Pembroke,UNC University of North Carolina Pembroke,,
1093,Central Baptist College,,Central-Baptist-College,1288.0
5019,Universidad Adventista de las Antillas,,Universidad-Adventista-de-las-Antillas,1172.0
1540,Webber International University,,Webber-International-University,1581.0
3825,West Virginia University Institute of Technology,,West-Virginia-University-Institute-of-Technology,1587.0
1215,La Sierra University,LaSierra University,La-Sierra-University,889.0
3219,Southern Oregon University,,Southern-Oregon-University,780.0
3678,Southern Utah University,,Southern-Utah-University,922.0
3832,Alverno College,,Alverno-College,1187.0
1089,Arkansas Tech University,,Arkansas-Tech-University,478.0
1839,Trine University,,Trine-University,1730.0
1891,University of Dubuque,,University-of-Dubuque,361.0
1832,University of Saint Francis,University of St Francis University of Saint Francis,,
3915,University of Wisconsin--Stout,University of Wisconsin Stout,University-of-Wisconsin-Stout,1696.0
1005,Alabama State University,,Alabama-State-University,465.0
8310,Auburn University at Montgomery,Auburn University Montgomery Auburn University Montgomery,Auburn-University-at-Montgomery,489.0
3303,Carlow University,,Carlow-University,187.0
