id,name,alias
3523,Tennessee Tech University,
2536,University of Montana,UMT
3594,University of North Texas,
3560,Dallas Baptist University,
3487,East Tennessee State University,ETSU
667002,Long Island University,
3815,Marshall University,
3510,Middle Tennessee State University,
1082,Northern Arizona University,NAU
3216,Portland State University,PSU
3471,South Dakota State University,
29020,University of Hawaii at Hilo,UH Hilo University of Hawaii Hilo
7108,University of Puerto Rico--Rio Piedras,University of Puerto Rico Rio Piedras
3656,University of Texas at Arlington,UT Arlington University of Texas Arlington
2229,Williams College,
2115,Amherst College,
3370,Swarthmore College,
1173,Pomona College,
2224,Wellesley College,
2038,Bowdoin College,
2101,United States Naval Academy,USNA
1170,Claremont McKenna College,
2340,Carleton College,
3691,Middlebury College,
2893,United States Military Academy,USMA West Point
3768,Washington and Lee University,W&L
2918,Davidson College,
1868,Grinnell College,
2728,Hamilton College,
3274,Haverford College,
2708,Barnard College,
2039,Colby College,
2701,Colgate University,
2209,Smith College,
1424,Wesleyan University,
1369,United States Air Force Academy,USAFA
3744,University of Richmond,
2895,Vassar College,
2036,Bates College,
1347,Colorado College,
2358,Macalester College,
1171,Harvey Mudd College,
38144,Soka University of America,
1955,Berea College,
3237,Bryn Mawr College,
3065,Kenyon College,
2192,Mount Holyoke College,
1174,Scripps College,
2141,College of the Holy Cross,
1172,Pitzer College,
3086,Oberlin College and Conservatory,
3238,Bucknell University,
3284,Lafayette College,
2814,Skidmore College,
3042,Denison University,
3265,Franklin & Marshall College,F&M Franklin & Marshall
1249,Occidental College,
10448,Thomas Aquinas College,
1792,DePauw University,
3434,Furman University,
2272,Hillsdale College,
1414,Trinity College,
1379,Connecticut College,
3253,Dickinson College,
2889,Union College (NY),
3534,The University of the South,Sewanee University of the South Sewanee University of the South
3268,Gettysburg College,
3519,Rhodes College,
1594,Spelman College,
2829,St. Lawrence University,St Lawrence University Saint Lawrence University
1844,Wabash College,
1961,Centre College,
1744,Principia College,
1781,Wheaton College (IL),
2671,Bard College,
3856,Lawrence University,
3217,Reed College,
2382,St. Olaf College,St Olaf College Saint Olaf College
1542,Agnes Scott College,
3304,Muhlenberg College,
2092,St. John's College (MD),St John's College Saint John's College St Johns College Saint Johns College St. Johns College
3753,Virginia Military Institute,
3457,Wofford College,
3037,College of Wooster,
2275,Kalamazoo College,
2813,Sarah Lawrence College,
3227,Willamette University,
3835,Beloit College,
2731,Hobart and William Smith Colleges,HWS
3279,Juniata College,
2093,St. John's College (NM),St John's College Saint John's College St Johns College Saint Johns College St. Johns College
3682,Bennington College,
2353,Gustavus Adolphus College,
1704,Knox College,
1706,Lake Forest College,
3197,Lewis & Clark College,Lewis and Clark College
153704,New College of Florida,
3230,Allegheny College,
3797,University of Puget Sound,
3385,Ursinus College,
2227,Wheaton College (MA),
1856,Cornell College,
1696,Illinois Wesleyan University,
2095,St. Mary's College of Maryland,St Mary's College of Maryland Saint Mary's College of Maryland St Marys College of Maryland Saint Marys College of Maryland St. Marys College of Maryland
1633,Augustana College,
2341,College of St. Benedict,College of St Benedict College of Saint Benedict
11385,College of the Atlantic,
1793,Earlham College,
1987,Transylvania University,
3389,Washington and Jefferson College,
3713,Hampden-Sydney College,Hampden Sydney College
1801,Hanover College,
1099,Hendrix College,
3109,Ohio Wesleyan University,OWU
3620,Southwestern University,
2217,Stonehill College,
2108,Washington College,
3269,Grove City College,
3715,Hollins University,
1874,Luther College,
2587,Saint Anselm College,St Anselm College Saint Anselm College
1836,Saint Mary's College,St Mary's College Saint Mary's College St Marys College Saint Marys College St. Marys College
2379,St. John's University (MN),St John's University Saint John's University St Johns University Saint Johns University St. Johns University
3543,Austin College,
2273,Hope College,
3733,Randolph-Macon College,R-MC Randolph Macon College Randolph Macon
2414,Millsaps College,
1341,Westmont College,
1342,Whittier College,
2603,Drew University,
3262,Elizabethtown College,
2073,Goucher College,
3198,Linfield University,
3892,St. Norbert College,St Norbert College Saint Norbert College
3369,Susquehanna University,
3392,Westminster College (PA),
2734,Houghton College,
3293,Lycoming College,
1725,Monmouth College,
3694,Saint Michael's College,St Michael's College Saint Michael's College St Michaels College Saint Michaels College St. Michaels College
2235,Albion College,
1012,Birmingham-Southern College,Birmingham Southern College
1487,Eckerd College,
2187,Massachusetts College of Liberal Arts,
1582,Morehouse College,
3445,Presbyterian College,
3884,Ripon College,
3736,Roanoke College,
1850,Central College,
1854,Coe College,
1617,College of Idaho,
2945,Meredith College,
2960,Salem College,
2346,Concordia College at Moorhead,Concordia College Moorhead Concordia College Moorhead
4661,Hampshire College,
3301,Moravian University,
3734,Randolph College,
2389,University of Minnesota Morris,University of Minnesota Morris
3484,Covenant College,
3490,Fisk University,
1798,Franklin College,
2729,Hartwick College,
1688,Illinois College,
3368,Saint Vincent College,St Vincent College Saint Vincent College
1887,Simpson College,
2907,University of North Carolina at Asheville,UNC University of North Carolina Asheville
2901,Wells College,
6791,Purchase College--SUNY,Purchase College SUNY Purchase College SUNY
3143,Wittenberg University,
1600,Wesleyan College,
2239,Aquinas College,
3709,Emory and Henry College,
2153,Gordon College,
