id,rankingType,name,urlName,region,fundingType,rank,location,tuition,totalUndergradEnrollment,costAfterAid,percentReceivingAid,acceptanceRate,hsGpa,engineeringRepScore,businessRepScore,computerScienceRepScore,nursingRepScore,sat25,sat75,act25,act75
8155,regional-universities-west,The Evergreen State College,the-evergreen-state-college,west,public,50,"Olympia, WA",28515,2576,,,98,,,,,,960,1210,19,25
2076,regional-universities-north,Hood College,hood-college,north,private,50,"Frederick, MD",43140,1182,30053.0,80,71,,,,< 2.0,,1000,1220,19,26
3297,regional-universities-north,Mercyhurst University,mercyhurst-college,north,private,50,"Erie, PA",42680,2431,48732.0,55,88,3.4,,,,,1030,1220,20,26
1937,regional-colleges-midwest,Ottawa University,ottawa-university,midwest,private,50,"Ottawa, KS",33380,720,,,24,3.1,,,,,750,990,18,22
2848,regional-universities-north,SUNY--Oswego,suny-oswego,north,public,50,"Oswego, NY",18679,6673,31948.0,10,69,3.3,2.1,2.2,,,1020,1190,20,26
1946,regional-colleges-midwest,Tabor College,tabor-college,midwest,private,50,"Hillsboro, KS",32100,586,,,46,3.2,,,,,920,1100,18,23
3328,regional-universities-north,West Chester University of Pennsylvania,west-chester,north,public,50,"West Chester, PA",21567,14712,30192.0,47,86,3.4,,2.0,< 2.0,3.0,1010,1180,20,26
3806,regional-colleges-south,Alderson Broaddus University,alderson-broaddus-college,south,private,51,"Philippi, WV",30020,766,,,53,3.2,,,,,850,1050,17,22
7993,regional-universities-west,California State University--Bakersfield,csub,west,public,51,"Bakersfield, CA",17086,9979,,,78,3.4,2.6,2.2,2.0,3.1,900,1080,16,22
2464,regional-universities-midwest,Fontbonne University,fontbonne-university,midwest,private,51,"St. Louis, MO",28200,816,33384.0,82,85,3.3,,,< 2.0,,990,1100,17,23
3869,regional-universities-midwest,Mount Mary University,mount-mary-college,midwest,private,51,"Milwaukee, WI",32760,636,26800.0,91,53,3.1,,,,,925,1160,16,20
1880,regional-universities-midwest,Mount Mercy University,mount-mercy-university,midwest,private,51,"Cedar Rapids, IA",35574,1442,,,66,,,,,2.8,,,18,24
1624,regional-universities-west,Northwest Nazarene University,northwest-nazarene-university,west,private,51,"Nampa, ID",34390,1241,,,77,3.6,2.2,,,,990,1210,19,25
1963,regional-universities-south,Eastern Kentucky University,eastern-kentucky-university,south,public,52,"Richmond, KY",10713,12554,19703.0,32,98,3.4,,2.0,< 2.0,3.2,950,1170,19,25
3496,regional-universities-south,King University,king-college,south,private,52,"Bristol, TN",18513,1435,17327.0,70,60,3.5,,,,2.2,960,1150,19,25
7228,regional-colleges-south,University of Puerto Rico--Arecibo,university-of-puerto-rico-arecibo,south,public,52,"Arecibo, PR",4178,3414,,,70,,,,< 2.0,,,,,
667008,regional-colleges-south,American University of Puerto Rico--Bayamon,american-university-of-puerto-rico-bayamon,south,private,53,"Bayamon, PR",6555,370,,,,,,,,,,,,
3436,regional-colleges-south,Limestone University,limestone-college,south,private,53,"Gaffney, SC",26300,1818,,,68,3.4,,,,,930,1140,17,23
1220,regional-universities-west,The Master's University and Seminary,the-masters-university-and-seminary,west,private,53,"Santa Clarita, CA",28740,1649,41850.0,51,60,3.8,,,,,1040,1340,19,25
957121,regional-colleges-midwest,Purdue University Global,purdue-university-global,midwest,public,53,IN,,28807,,,,,,,,,,,,
2288,regional-colleges-midwest,Rochester University,rochester-university,midwest,private,53,"Rochester Hills, MI",25462,1198,,,99,,,,,,840,1060,17,23
1343,regional-universities-west,Woodbury University,woodbury-university,west,private,53,"Burbank, CA",43418,1020,35153.0,76,70,3.4,,< 2.0,,,970,1225,17,27
3012,regional-universities-midwest,Ashland University,ashland-university,midwest,private,54,"Ashland, OH",23000,6666,23750.0,75,74,3.5,,,,2.6,1000,1208,19,24
2397,regional-universities-south,Belhaven University,belhaven,south,private,54,"Jackson, MS",27825,2128,22353.0,72,53,,,,,,995,1135,19,23
1674,regional-universities-midwest,Eastern Illinois University,eastern-illinois-university,midwest,public,54,"Charleston, IL",14930,6969,20665.0,17,56,3.4,,2.1,,,960,1140,18,23
1505,regional-universities-south,Lynn University,lynn-university,south,private,54,"Boca Raton, FL",40900,2459,49286.0,41,79,3.2,,,,,810,1280,21,24
1722,regional-universities-midwest,McKendree University,mckendree-university,midwest,private,54,"Lebanon, IL",33050,1702,25704.0,70,70,3.3,,,,2.4,871,1277,18,28
1768,regional-universities-midwest,Saint Xavier University,saint-xavier-university,midwest,private,54,"Chicago, IL",35070,3080,25157.0,87,79,,,2.1,< 2.0,2.8,950,1120,18,24
2318,regional-universities-midwest,Spring Arbor University,spring-arbor-university,midwest,private,54,"Spring Arbor, MI",31080,1350,26150.0,78,63,3.6,,,,< 2.0,983,1190,20,27
3135,regional-universities-midwest,Walsh University,walsh-university,midwest,private,54,"North Canton, OH",32100,1850,33361.0,66,77,,,,,2.3,978,1170,19,26
29059,regional-universities-west,Concordia University -- Irvine,concordia-university-irvine,west,private,55,"Irvine, CA",38740,1704,30594.0,62,78,3.6,,,,2.4,1020,1210,20,26
3711,regional-colleges-south,Ferrum College,ferrum-college,south,private,55,"Ferrum, VA",36695,960,,,76,3,,,,,910,1060,15,19
9089,regional-colleges-midwest,Hannibal-LaGrange University,hannibal-lagrange,midwest,private,55,"Hannibal, MO",24000,746,,,61,,,,,,890,1150,18,25
1814,regional-colleges-midwest,Indiana University--Kokomo,indiana-university-kokomo,midwest,public,55,"Kokomo, IN",20936,3016,,,83,3.3,,2.0,,3.1,940,1130,17,22
2737,regional-universities-north,Iona University,iona-university,north,private,55,"New Rochelle, NY",42828,2959,,,86,3,,2.3,< 2.0,,1000,1190,21,27
2311,regional-colleges-midwest,Kuyper College,kuyper-college,midwest,private,55,"Grand Rapids, MI",23970,,,,62,,,,,,850,1080,20,27
3783,regional-universities-west,Northwest University,northwest-university,west,private,55,"Kirkland, WA",33980,838,25318.0,75,93,3.5,,,,2.8,1010,1205,20,26
3692,regional-universities-north,Norwich University,norwich-university,north,private,55,"Northfield, VT",44020,3236,29508.0,73,74,3.1,2.7,,2.0,,1040,1230,20,26
2534,regional-universities-west,Rocky Mountain College,rocky-mountain-college,west,private,55,"Billings, MT",31335,839,22207.0,71,71,3.4,,,,,918,1138,18,24
1397,regional-universities-north,University of New Haven,university-of-new-haven,north,private,55,"West Haven, CT",42898,5097,,,91,3.5,2.8,2.3,2.1,,1050,1220,22,28
